,Unnamed: 0,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location,Unnamed: 0.1
10,10,1 1 4 0 9 - 2 - T A M A N   M U T I A R A,WARISAN MARANG SDN. BHD.,11409,11409/10-2025/0351(A),20 Oct 2022,19 Oct 2025,-,-,-,"11409-2,",BERJALAN LANCAR,11409-2/11-2025/1226(N)-(L),08 Nov 2023,07 Nov 2025,"RM 231,000.00",105.00mps - 128.00mps,RUMAH TERES,1.0,0,0,105 - 128,40.0,40.0,"231,000.00","292,500.00",17.38,"[""5.173580, 103.082820""]",,https://teduh.kpkt.gov.my/project-swasta/11409-2,"(483, '11409-2')",
11,11,1 1 5 3 7 - 7 - S A R A I   2 . 0,UDA LAND (EAST) SDN. BHD.,11537,11537/09-2028/1114(A),11 Sep 2023,10 Sep 2028,095055300,AzharY@udanet.com,-,"11537-7,",SIAP DENGAN: CCC PENUH,11537-7/01-2024/0283(R)-(L),05 Jan 2023,04 Jan 2024,"RM 772,800.00",186.00mps - 197.00mps,RUMAH SESEBUAH,2.0,4,5,186 - 197,11.0,5.0,"819,000.00","979,300.00",100.0,"[""5.386231, 103.087631""]",,https://teduh.kpkt.gov.my/project-swasta/11537-7,"(432, '11537-7')",
12,12,1 1 5 3 7 - 7 - S A R A I   2 . 0,UDA LAND (EAST) SDN. BHD.,11537,11537/09-2028/1114(A),11 Sep 2023,10 Sep 2028,095055300,AzharY@udanet.com,-,"11537-7,",SIAP DENGAN: CCC PENUH,11537-7/01-2024/0283(R)-(L),05 Jan 2023,04 Jan 2024,"RM 772,800.00",186.00mps - 197.00mps,RUMAH SESEBUAH,2.0,4,5,186,12.0,1.0,"772,800.00","944,800.00",100.0,"[""5.386231, 103.087631""]",,https://teduh.kpkt.gov.my/project-swasta/11537-7,"(432, '11537-7')",
13,13,1 1 5 3 7 - 9 - T A M A N   K U A L A   T E R E N G G A N U   G O L F   R E S O R T,UDA LAND (EAST) SDN. BHD.,11537,11537/09-2028/1114(A),11 Sep 2023,10 Sep 2028,095055300,AzharY@udanet.com,-,"11537-9,",BELUM MULA,11537-9/01-2026/0068(N)-(L),19 Jan 2024,18 Jan 2026,"RM 1,067,986.00",222.58mps,RUMAH SESEBUAH,2.0,4,5,223,18.0,18.0,"1,067,986.00","1,115,693.00",0.0,,,https://teduh.kpkt.gov.my/project-swasta/11537-9,"(477, '11537-9')",
14,14,1 1 5 6 5 - 3 0 - T A M A N   A R M A N I   T E L U K   K A L U N G,ARMANI IDAMAN SDN. BHD.,11565,11565/12-2026/1453(A),25 Dec 2023,24 Dec 2026,095661931,minghooidev@gmail.com,-,"11565-30,",BERJALAN LANCAR,11565-30/12-2024/1779(R)-(L),21 Dec 2023,20 Dec 2024,"RM 397,500.00",81.00mps - 115.00mps,RUMAH BERKEMBAR,1.0,0,0,88,6.0,6.0,"431,250.00","543,750.00",55.0,"[""4.306056, 103.473778""]",,https://teduh.kpkt.gov.my/project-swasta/11565-30,"(421, '11565-30')",
15,15,1 1 5 6 5 - 3 0 - T A M A N   A R M A N I   T E L U K   K A L U N G,ARMANI IDAMAN SDN. BHD.,11565,11565/12-2026/1453(A),25 Dec 2023,24 Dec 2026,095661931,minghooidev@gmail.com,-,"11565-30,",BERJALAN LANCAR,11565-30/12-2024/1779(R)-(L),21 Dec 2023,20 Dec 2024,"RM 397,500.00",81.00mps - 115.00mps,RUMAH BERKEMBAR,1.0,0,0,115,2.0,2.0,"450,000.00","525,000.00",55.0,"[""4.306056, 103.473778""]",,https://teduh.kpkt.gov.my/project-swasta/11565-30,"(421, '11565-30')",
16,16,1 1 5 6 5 - 3 0 - T A M A N   A R M A N I   T E L U K   K A L U N G,ARMANI IDAMAN SDN. BHD.,11565,11565/12-2026/1453(A),25 Dec 2023,24 Dec 2026,095661931,minghooidev@gmail.com,-,"11565-30,",BERJALAN LANCAR,11565-30/12-2024/1779(R)-(L),21 Dec 2023,20 Dec 2024,"RM 397,500.00",81.00mps - 115.00mps,RUMAH BERKEMBAR,1.0,0,0,81,6.0,6.0,"397,500.00","462,500.00",55.0,"[""4.306056, 103.473778""]",,https://teduh.kpkt.gov.my/project-swasta/11565-30,"(421, '11565-30')",
17,17,1 1 5 8 5 - 4 - D E S A   B U D I M A N,SELAYANG TEGUH SDN. BHD.,11585,11585/06-2028/1013(R),15 Jun 2023,14 Jun 2028,-,-,-,"11585-4,",SIAP DENGAN: CCC PENUH,11585-4/10-2022/0687(P),15 Oct 2020,14 Oct 2022,"RM 385,000.00",121.50mps - 208.00mps,RUMAH BERKEMBAR,1.0,0,0,122,8.0,3.0,"385,000.00","426,000.00",100.0,"[""5.301619, 103.156493""]",,https://teduh.kpkt.gov.my/project-swasta/11585-4,"(438, '11585-4')",
18,18,1 1 5 8 5 - 4 - D E S A   B U D I M A N,SELAYANG TEGUH SDN. BHD.,11585,11585/06-2028/1013(R),15 Jun 2023,14 Jun 2028,-,-,-,"11585-4,",SIAP DENGAN: CCC PENUH,11585-4/10-2022/0687(P),15 Oct 2020,14 Oct 2022,"RM 385,000.00",121.50mps - 208.00mps,RUMAH BERKEMBAR,2.0,0,0,208,12.0,9.0,"515,000.00","562,000.00",100.0,"[""5.301619, 103.156493""]",,https://teduh.kpkt.gov.my/project-swasta/11585-4,"(438, '11585-4')",
19,19,1 1 5 8 5 - 5 - T A M A N   S E L A D A N G   H A R M O N I,SELAYANG TEGUH SDN. BHD.,11585,11585/06-2028/1013(R),15 Jun 2023,14 Jun 2028,-,-,-,"11585-5,",PERMIT TELAH DIBATALKAN,11585-5/06-2023/0512(A)-(L),15 Jun 2021,14 Jun 2023,"RM 235,000.00",120.00mps,RUMAH TERES,1.0,0,0,120,10.0,10.0,"235,000.00","255,000.00",0.0,"[""5.515687, 102.755445""]",,https://teduh.kpkt.gov.my/project-swasta/11585-5,"(383, '11585-5')",
20,20,1 1 5 8 5 - 6 - D E S A   T A N J U N G   I N D A H,SELAYANG TEGUH SDN. BHD.,11585,11585/06-2028/1013(R),15 Jun 2023,14 Jun 2028,-,-,-,"11585-6,",BERJALAN LANCAR,11585-6/04-2025/0389(N)-(L),02 Apr 2023,01 Apr 2025,"RM 398,000.00","158.00mps - 2,524.00mps",RUMAH TERES,2.0,3,3,158,11.0,5.0,"398,000.00","483,000.00",45.0,"[""5.304367, 103.142131""]",,https://teduh.kpkt.gov.my/project-swasta/11585-6,"(393, '11585-6')",
21,21,1 1 5 8 5 - 6 - D E S A   T A N J U N G   I N D A H,SELAYANG TEGUH SDN. BHD.,11585,11585/06-2028/1013(R),15 Jun 2023,14 Jun 2028,-,-,-,"11585-6,",BERJALAN LANCAR,11585-6/04-2025/0389(N)-(L),02 Apr 2023,01 Apr 2025,"RM 398,000.00","158.00mps - 2,524.00mps",RUMAH BERKEMBAR,2.0,0,0,"2,524",2.0,0.0,"598,000.00","598,000.00",40.0,"[""5.304367, 103.142131""]",,https://teduh.kpkt.gov.my/project-swasta/11585-6,"(393, '11585-6')",
22,22,1 1 8 8 1 - 3 - T I A R A   P A K A,KEMAMAN TECHNOLOGY & INDUSTRIAL PARK SDN. BHD.,11881,11881/04-2025/0739(A),06 Apr 2022,05 Apr 2025,098277979,syednakib@azrb.com,-,"11881-3,",BERJALAN LANCAR,11881-3/01-2025/0003(N)-(L),03 Jan 2023,02 Jan 2025,"RM 236,694.00",94.37mps - 119.15mps,RUMAH TERES,1.0,3,"2, 3",94 - 119,49.0,5.0,"236,694.00","337,634.00",63.37,"[""4.604720, 103.441730""]",,https://teduh.kpkt.gov.my/project-swasta/11881-3,"(394, '11881-3')",
23,23,1 1 8 8 1 - 4 - T I A R A   P A K A,KEMAMAN TECHNOLOGY & INDUSTRIAL PARK SDN. BHD.,11881,11881/04-2025/0739(A),06 Apr 2022,05 Apr 2025,098277979,syednakib@azrb.com,-,"11881-4,",BERJALAN LANCAR,11881-4/06-2025/0763(N)-(L),01 Jul 2023,30 Jun 2025,"RM 265,000.00",98.04mps - 115.35mps,RUMAH TERES,1.0,0,0,98 - 115,35.0,32.0,"265,000.00","357,000.00",9.29,"[""4.605720, 103.441090""]",,https://teduh.kpkt.gov.my/project-swasta/11881-4,"(456, '11881-4')",
24,24,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH BERKEMBAR,1.0,0,0,"109 - 1,176",8.0,1.0,"280,000.00","325,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
25,25,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH SESEBUAH,1.0,0,0,"1,607",1.0,0.0,"400,000.00","400,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
26,26,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH SESEBUAH,1.0,0,0,143,1.0,1.0,"420,000.00","420,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
27,27,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH BERKEMBAR,1.0,0,0,109 - 142,2.0,2.0,"300,000.00","325,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
28,28,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH BERKEMBAR,1.0,0,0,"113 - 1,219",6.0,1.0,"295,000.00","310,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
29,29,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH SESEBUAH,1.0,0,0,"1,455",1.0,0.0,"385,000.00","385,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
30,30,1 1 9 4 5 - 1 0 - D E S A   G E L U G U R   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-10,",SAKIT,11945-10/10-2023/0341(R)-(L),31 Oct 2022,30 Oct 2023,"RM 280,000.00","109.25mps - 1,699.00mps",RUMAH SESEBUAH,1.0,0,0,"1,699",1.0,0.0,"415,000.00","415,000.00",97.5,"[""5.264858, 103.110085""]",,https://teduh.kpkt.gov.my/project-swasta/11945-10,"(408, '11945-10')",
31,31,1 1 9 4 5 - 1 1 - D E S A   P A L O H   M U R N I,FAKTOR MURNI DEVELOPMENT SDN. BHD.,11945,11945/02-2026/0261(R),14 Feb 2023,13 Feb 2026,096172292,faktormurni@yahoo.com,-,"11945-11,",BERJALAN LANCAR,11945-11/02-2024/0619(R)-(L),14 Feb 2023,13 Feb 2024,"RM 480,000.00",153.00mps,RUMAH BERKEMBAR,2.0,0,0,153,10.0,6.0,"480,000.00","500,000.00",97.5,"[""5.311347, 103.103661""]",,https://teduh.kpkt.gov.my/project-swasta/11945-11,"(409, '11945-11')",
32,32,"1 2 0 6 0 - 3 - P R O J E K   P E R U M A H A N   2   T I N G K A T   T A M A N   K P   P E R D A N A   5 D ,   M U K I M   K U B A N G   P A R I T ,   K U A L A   T E R E N G G A N U",P - EXCELL MANAGEMENT SDN. BHD.,12060,12060/07-2027/0615(A),13 Jul 2022,12 Jul 2027,-,-,-,"12060-3,",SIAP DENGAN: CCC PENUH,12060-3/07-2023/0445(R)-(L),13 Jul 2022,12 Jul 2023,"RM 398,000.00",136.00mps - 195.00mps,RUMAH BERKEMBAR,2.0,0,0,136,12.0,0.0,"432,900.00","493,000.00",100.0,"[""5.297700, 103.112400""]",,https://teduh.kpkt.gov.my/project-swasta/12060-3,"(471, '12060-3')",
33,33,"1 2 0 6 0 - 3 - P R O J E K   P E R U M A H A N   2   T I N G K A T   T A M A N   K P   P E R D A N A   5 D ,   M U K I M   K U B A N G   P A R I T ,   K U A L A   T E R E N G G A N U",P - EXCELL MANAGEMENT SDN. BHD.,12060,12060/07-2027/0615(A),13 Jul 2022,12 Jul 2027,-,-,-,"12060-3,",SIAP DENGAN: CCC PENUH,12060-3/07-2023/0445(R)-(L),13 Jul 2022,12 Jul 2023,"RM 398,000.00",136.00mps - 195.00mps,RUMAH BERKEMBAR,2.0,0,0,195,10.0,0.0,"410,300.00","629,800.00",100.0,"[""5.297700, 103.112400""]",,https://teduh.kpkt.gov.my/project-swasta/12060-3,"(471, '12060-3')",
34,34,"1 2 0 6 0 - 3 - P R O J E K   P E R U M A H A N   2   T I N G K A T   T A M A N   K P   P E R D A N A   5 D ,   M U K I M   K U B A N G   P A R I T ,   K U A L A   T E R E N G G A N U",P - EXCELL MANAGEMENT SDN. BHD.,12060,12060/07-2027/0615(A),13 Jul 2022,12 Jul 2027,-,-,-,"12060-3,",SIAP DENGAN: CCC PENUH,12060-3/07-2023/0445(R)-(L),13 Jul 2022,12 Jul 2023,"RM 398,000.00",136.00mps - 195.00mps,RUMAH BERKEMBAR,2.0,0,0,136,12.0,0.0,"398,000.00","490,300.00",100.0,"[""5.297700, 103.112400""]",,https://teduh.kpkt.gov.my/project-swasta/12060-3,"(471, '12060-3')",
35,35,"1 2 0 6 0 - 3 - P R O J E K   P E R U M A H A N   2   T I N G K A T   T A M A N   K P   P E R D A N A   5 D ,   M U K I M   K U B A N G   P A R I T ,   K U A L A   T E R E N G G A N U",P - EXCELL MANAGEMENT SDN. BHD.,12060,12060/07-2027/0615(A),13 Jul 2022,12 Jul 2027,-,-,-,"12060-3,",SIAP DENGAN: CCC PENUH,12060-3/07-2023/0445(R)-(L),13 Jul 2022,12 Jul 2023,"RM 398,000.00",136.00mps - 195.00mps,RUMAH BERKEMBAR,2.0,0,0,149,12.0,0.0,"398,000.00","451,900.00",100.0,"[""5.297700, 103.112400""]",,https://teduh.kpkt.gov.my/project-swasta/12060-3,"(471, '12060-3')",
36,36,1 2 0 6 0 - 4 - R E S I D E N S I   B A Y A S   F A S A   1,P - EXCELL MANAGEMENT SDN. BHD.,12060,12060/07-2027/0615(A),13 Jul 2022,12 Jul 2027,-,-,-,"12060-4,",SIAP DENGAN: CCC PENUH,12060-4/02-2024/0571(R)-(L),21 Feb 2023,20 Feb 2024,"RM 365,000.00",129.40mps,RUMAH TERES,2.0,4,3,129,55.0,6.0,"365,000.00","475,820.00",100.0,"[""5.282479, 103.134834""]",,https://teduh.kpkt.gov.my/project-swasta/12060-4,"(377, '12060-4')",
37,37,1 2 1 0 2 - 6 - C A S A   C A P R I,LEEGENDA HOUSING DEVELOPMENT SDN. BHD.,12102,12102/07-2025/0190(A),02 Jul 2020,01 Jul 2025,-,-,-,"12102-6,",BERJALAN LANCAR,12102-6/02-2025/0196(N)-(L),24 Feb 2023,23 Feb 2025,"RM 428,000.00",138.00mps,RUMAH BERKEMBAR,1.0,0,0,138,16.0,7.0,"428,000.00","530,400.00",58.13,"[""4.336959, 103.484169""]",,https://teduh.kpkt.gov.my/project-swasta/12102-6,"(433, '12102-6')",
38,38,1 2 1 1 5 - 2 - T A M A N   S R I   P U R N A M A,GRAND EASTCOAST DEVELOPMENT (2003) SDN. BHD.,12115,12115/02-2026/1118(R),25 Feb 2020,24 Feb 2026,-,-,-,"12115-2,",SAKIT,12115-2/02-2020/01529(P),25 Feb 2019,24 Feb 2020,"RM 73,000.00",69.00mps,RUMAH TERES,1.0,0,0,69,120.0,8.0,"73,000.00","73,000.00",47.54,"[""5.166570, 103.134204""]",,https://teduh.kpkt.gov.my/project-swasta/12115-2,"(405, '12115-2')",
39,39,"1 2 1 6 4 - 2 - K E R T E H   5 ,   T A M A N   M U H I B A H ,   B A N D A R   K E T E N G A H   J A Y A ,   2 3 3 0 0   K E T E N G A H   J A Y A ,   T E R E N G G A N U .",KETENGAH PROPERTIES SDN. BHD.,12164,12164/07-2027/0818(A),02 Jul 2019,01 Jul 2027,6098222187,ketengahproperties@gmail.com,-,"12164-2,",BELUM MULA,12164-2/01-2026/0012(N)-(L),08 Jan 2024,07 Jan 2026,"RM 341,000.00",111.48mps,RUMAH BERKEMBAR,1.0,0,0,111,12.0,12.0,"341,000.00","363,000.00",0.0,,,https://teduh.kpkt.gov.my/project-swasta/12164-2,"(463, '12164-2')",
40,40,"1 2 1 6 4 - 2 - K E R T E H   5 ,   T A M A N   M U H I B A H ,   B A N D A R   K E T E N G A H   J A Y A ,   2 3 3 0 0   K E T E N G A H   J A Y A ,   T E R E N G G A N U .",KETENGAH PROPERTIES SDN. BHD.,12164,12164/07-2027/0818(A),02 Jul 2019,01 Jul 2027,6098222187,ketengahproperties@gmail.com,-,"12164-2,",BELUM MULA,12164-2/01-2026/0012(N)-(L),08 Jan 2024,07 Jan 2026,"RM 341,000.00",111.48mps,RUMAH BERKEMBAR,1.0,0,0,111,12.0,12.0,"342,000.00","385,000.00",0.0,,,https://teduh.kpkt.gov.my/project-swasta/12164-2,"(463, '12164-2')",
41,41,1 2 2 3 9 - 2 - S U T E R A M A S,WIRAMA DEVELOPMENT SDN. BHD.,12239,12239/03-2028/0482(A),18 Mar 2023,17 Mar 2028,0378046682,wirama.development@gmail.com,-,"12239-2,",SIAP DENGAN: CCC PENUH,12239-2/03-2023/0238(P),18 Mar 2021,17 Mar 2023,"RM 211,800.00",116.00mps - 186.00mps,RUMAH TERES,1.0,0,0,116 - 186,70.0,0.0,"211,800.00","342,800.00",100.0,"[""4.255000, 103.405941""]",,https://teduh.kpkt.gov.my/project-swasta/12239-2,"(378, '12239-2')",
42,42,1 2 2 3 9 - 3 - T A M A N   S U T E R A M A S,WIRAMA DEVELOPMENT SDN. BHD.,12239,12239/03-2028/0482(A),18 Mar 2023,17 Mar 2028,0378046682,wirama.development@gmail.com,-,"12239-3,",BERJALAN LANCAR,12239-3/01-2025/0063(N)-(L),17 Jan 2023,16 Jan 2025,"RM 395,800.00",125.63mps - 176.11mps,RUMAH BERKEMBAR,1.0,0,0,126 - 162,56.0,53.0,"395,800.00","535,300.00",5.0,"[""4.255000, 103.405941""]",,https://teduh.kpkt.gov.my/project-swasta/12239-3,"(396, '12239-3')",
43,43,1 2 2 3 9 - 3 - T A M A N   S U T E R A M A S,WIRAMA DEVELOPMENT SDN. BHD.,12239,12239/03-2028/0482(A),18 Mar 2023,17 Mar 2028,0378046682,wirama.development@gmail.com,-,"12239-3,",BERJALAN LANCAR,12239-3/01-2025/0063(N)-(L),17 Jan 2023,16 Jan 2025,"RM 395,800.00",125.63mps - 176.11mps,RUMAH SESEBUAH,1.0,0,0,170 - 176,22.0,22.0,"534,200.00","949,100.00",5.0,"[""4.255000, 103.405941""]",,https://teduh.kpkt.gov.my/project-swasta/12239-3,"(396, '12239-3')",
44,44,1 3 0 6 9 - 7 - T A M A N   A S T A N A   M A R I A H,TRUE MEGA SDN. BHD.,13069,13069/09-2026/1234(R),04 Sep 2023,03 Sep 2026,01110708388,truemegasb@gmail.com,-,"13069-7,",SAKIT,13069-7/09-2023/0654(P),04 Sep 2021,03 Sep 2023,"RM 284,000.00",155.40mps,RUMAH BERKEMBAR,1.0,0,0,155,24.0,20.0,"284,000.00","377,520.00",80.0,"[""4.268319, 103.437820""]",,https://teduh.kpkt.gov.my/project-swasta/13069-7,"(472, '13069-7')",
