,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,0,Location,Address,Link,Website Location,Page
49,1 1 3 6 - 1 0 - T A M A N   I M P I A N A   B I D O R,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-10,",SIAP DENGAN: CCC PENUH,1136-10/01-2022/0886(P),10-Jan-21,9-Jan-22,"RM140,000.00",85mps,,,,,,,,,,,,"[""4.051282, 101.288292""]",,https://teduh.kpkt.gov.my/project-swasta/1136-10,3,15
50,1 1 3 6 - 1 1 - T A M A N   I M P I A N A   B I D O R,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-11,",SIAP DENGAN: CCC PENUH,1136-11/01-2021/01281(P),18-Jan-20,17-Jan-21,"RM140,000.00",85mps - 156mps,,,,,,,,,,,,"[""4.049709, 101.289172""]",,https://teduh.kpkt.gov.my/project-swasta/1136-11,3,16
51,1 1 3 6 - 1 2 - T A M A N   I M P I A N A   B I D O R,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-12,",SIAP DENGAN: CCC PENUH,1136-12/01-2022/0977(P),19-Jan-21,18-Jan-22,"RM140,000.00",85mps,,,,,,,,,,,,"[""4.049934, 101.290835""]",,https://teduh.kpkt.gov.my/project-swasta/1136-12,3,17
52,1 1 3 6 - 2 - B A N D A R   B A R U   A Y E R   I T A M,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-2,",-,1136-2/570/2003(03),28-Mar-02,27-Mar-03,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-2,3,18
53,1 1 3 6 - 3 - B A N D A R   B A R U   A Y E R   I T A M,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-3,",-,1136/446/2000(04),2-Apr-99,1-Apr-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-3,3,19
54,1 1 3 6 - 4 - B A N D A R   B A R U   A Y E R   I T A M,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-4,",-,1136-4/1614/2003(08),20-Aug-02,19-Aug-03,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-4,4,2
55,1 1 3 6 - 5 - B A N D A R   B A R U   A Y E R   I T A M,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-5,",-,1136-5/726/2004(04),23-Apr-03,22-Apr-04,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-5,4,3
56,1 1 3 6 - 6 - S R I   I M P I A N,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-6,",SIAP DENGAN: CFO PENUH,1136-6/2232/2006(09),23-Sep-05,22-Sep-06,"RM88,888.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-6,4,4
57,1 1 3 6 - 7 - C A S A   I D A M A N,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-7,",SIAP DENGAN: CFO PENUH,1136-7/1122/2006(05),29-May-05,28-May-06,"RM413,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-7,4,5
58,1 1 3 6 - 8 - S R I   K R I S T A L,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-8,",SIAP DENGAN: CFO PENUH,1136-8/12/2010(01),5-Jan-09,4-Jan-10,"RM133,888.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-8,4,6
59,1 1 3 6 - 9 - V I E W   C O U R T,FARLIM GROUP (MALAYSIA) BERHAD,1136,1136/11-2028/1368(R),26-Nov-23,25-Nov-28,48298899,bidorcustomercare@farlim.com.my,-,"1136-9,",SIAP DENGAN: CCC PENUH,1136-9/2016/2012(10),6-Oct-11,5-Oct-12,"RM423,888.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/1136-9,4,7
60,1 2 1 - 1 0 - T A M A N   I P O H   T I M U R,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-10,",-,121/1421/1993(11),26-Nov-92,25-Nov-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-10,4,8
61,1 2 1 - 1 1 - X X X,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-11,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-11,4,9
62,1 2 1 - 1 2 - D A M A N S A R A   E N D A H,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-12,",-,121/660/2000(05),11-May-99,10-May-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-12,4,10
