,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
10,1 4 1 1 6 - 1 - C I T I Z E N   @   O L D   K L A N G   R O A D,COUNTRY GROVE DEVELOPMENT SDN. BHD.,14116,14116-1/09-2021/02520(L),11 Sep 2020,10 Sep 2021,-,-,WWW.BINASTRA.COM.MY,"14116-1,",SIAP DENGAN: CCC PENUH,14116-1/09-2018/02217(P),11 Sep 2017,10 Sep 2018,"RM 555,640.00",852.00mps,PANGSAPURI SERVIS,37,0,0,852,237,-237,"666,770.00","935,410.00",100.00,"[""3.082997, 101.661656""]",,https://teduh.kpkt.gov.my/project-swasta/14116-1,"(255, '14116-1')"
11,1 4 1 6 3 - 1 - N O V U M,EUPE BANGSAR SOUTH DEVELOPMENT (JV) SDN. BHD.,14163,14163/11-2025/1147(R),18 Nov 2022,17 Nov 2025,-,-,-,"14163-1,",SIAP DENGAN: CCC PENUH,14163-1/11-2020/03332(P),18 Nov 2019,17 Nov 2020,"RM 720,000.00","12,872.83mps - 24,127.66mps",PANGSAPURI SERVIS,40,0,0,"24,128",288,80,"720,000.00","1,685,000.00",100.00,"[""3.113750, 101.666556""]",,https://teduh.kpkt.gov.my/project-swasta/14163-1,"(256, '14163-1')"
12,1 4 1 6 3 - 1 - N O V U M,EUPE BANGSAR SOUTH DEVELOPMENT (JV) SDN. BHD.,14163,14163/11-2025/1147(R),18 Nov 2022,17 Nov 2025,-,-,-,"14163-1,",SIAP DENGAN: CCC PENUH,14163-1/11-2020/03332(P),18 Nov 2019,17 Nov 2020,"RM 720,000.00","12,872.83mps - 24,127.66mps",PANGSAPURI SERVIS,31,0,0,"12,873",170,26,"756,000.00","1,355,000.00",100.00,"[""3.113750, 101.666556""]",,https://teduh.kpkt.gov.my/project-swasta/14163-1,"(256, '14163-1')"
13,1 4 1 6 3 - 1 - N O V U M,EUPE BANGSAR SOUTH DEVELOPMENT (JV) SDN. BHD.,14163,14163/11-2025/1147(R),18 Nov 2022,17 Nov 2025,-,-,-,"14163-1,",SIAP DENGAN: CCC PENUH,14163-1/11-2020/03332(P),18 Nov 2019,17 Nov 2020,"RM 720,000.00","12,872.83mps - 24,127.66mps",PANGSAPURI SERVIS,37,0,0,"21,575",196,55,"768,000.00","1,725,000.00",100.00,"[""3.113750, 101.666556""]",,https://teduh.kpkt.gov.my/project-swasta/14163-1,"(256, '14163-1')"
14,"1 4 1 6 5 - 1 - R E S I D E N S I   G U R N E Y M A S ,   T H E   H A U T E",ERA ECOLAND SDN. BHD.,14165,14165/12-2027/1371(R),24 Dec 2022,23 Dec 2027,-,-,-,"14165-1,",SIAP DENGAN: CCC PENUH,14165-1/11-2019/02985(P),19 Nov 2018,18 Nov 2019,"RM 198,000.00",74.32mps - 92.90mps,RUMAH PANGSA/KONDO,34,0,0,74,274,17,"198,000.00","198,000.00",100.00,"[""3.170987, 101.727673""]",,https://teduh.kpkt.gov.my/project-swasta/14165-1,"(257, '14165-1')"
15,"1 4 1 6 5 - 1 - R E S I D E N S I   G U R N E Y M A S ,   T H E   H A U T E",ERA ECOLAND SDN. BHD.,14165,14165/12-2027/1371(R),24 Dec 2022,23 Dec 2027,-,-,-,"14165-1,",SIAP DENGAN: CCC PENUH,14165-1/11-2019/02985(P),19 Nov 2018,18 Nov 2019,"RM 198,000.00",74.32mps - 92.90mps,RUMAH PANGSA/KONDO,36,0,0,93,274,47,"646,000.00","1,488,000.00",100.00,"[""3.170987, 101.727673""]",,https://teduh.kpkt.gov.my/project-swasta/14165-1,"(257, '14165-1')"
16,1 4 1 6 5 - 2 - R E S I D E N S I   D E S A M A S,ERA ECOLAND SDN. BHD.,14165,14165/12-2027/1371(R),24 Dec 2022,23 Dec 2027,-,-,-,"14165-2,",SIAP DENGAN: CCC PENUH,14165-2/12-2020/03441(P),20 Dec 2019,19 Dec 2020,"RM 300,000.00",83.61mps,RUMAH PANGSA/KONDO,36,0,0,84,323,47,"300,000.00","300,000.00",100.00,"[""3.098739, 101.688004""]",,https://teduh.kpkt.gov.my/project-swasta/14165-2,"(258, '14165-2')"
17,"1 4 1 6 5 - 3 - R E S I D E N S I   W A N G S A M A S ,   T H E   H A M I L T O N",ERA ECOLAND SDN. BHD.,14165,14165/12-2027/1371(R),24 Dec 2022,23 Dec 2027,-,-,-,"14165-3,",SIAP DENGAN: CCC PENUH,14165-3/11-2019/03111(P),07 Nov 2018,06 Nov 2019,"RM 198,000.00",74.32mps - 92.90mps,RUMAH PANGSA/KONDO,34,0,0,93,435,14,"650,000.00","1,550,000.00",100.00,"[""3.171035, 101.727794""]",,https://teduh.kpkt.gov.my/project-swasta/14165-3,"(259, '14165-3')"
18,"1 4 1 6 5 - 3 - R E S I D E N S I   W A N G S A M A S ,   T H E   H A M I L T O N",ERA ECOLAND SDN. BHD.,14165,14165/12-2027/1371(R),24 Dec 2022,23 Dec 2027,-,-,-,"14165-3,",SIAP DENGAN: CCC PENUH,14165-3/11-2019/03111(P),07 Nov 2018,06 Nov 2019,"RM 198,000.00",74.32mps - 92.90mps,RUMAH PANGSA/KONDO,34,0,0,74,441,25,"198,000.00","198,000.00",100.00,"[""3.171035, 101.727794""]",,https://teduh.kpkt.gov.my/project-swasta/14165-3,"(259, '14165-3')"
19,1 4 1 6 9 - 1 9 - p r 1 m a   c o r p o r a t i o n   m a l a y s i a,PR1MA CORPORATION MALAYSIA,14169,14169/12-2025/1466(A),30 Dec 2022,29 Dec 2025,0374959888,putih.atan@pr1ma.my,-,"14169-19,",SIAP DENGAN: CCC PENUH,14169-19/11-2017/0997(P),27 Nov 2015,26 Nov 2017,"RM 206,000.00",0.00mps,RUMAH PANGSA/KONDO,43,0,0,0,832,832,"286,000.00","434,500.00",100.00,"[""3.056700, 101.742000""]",,https://teduh.kpkt.gov.my/project-swasta/14169-19,"(260, '14169-19')"
20,1 4 1 6 9 - 1 9 - p r 1 m a   c o r p o r a t i o n   m a l a y s i a,PR1MA CORPORATION MALAYSIA,14169,14169/12-2025/1466(A),30 Dec 2022,29 Dec 2025,0374959888,putih.atan@pr1ma.my,-,"14169-19,",SIAP DENGAN: CCC PENUH,14169-19/11-2017/0997(P),27 Nov 2015,26 Nov 2017,"RM 206,000.00",0.00mps,RUMAH PANGSA/KONDO,43,0,0,0,118,118,"206,000.00","305,800.00",100.00,"[""3.056700, 101.742000""]",,https://teduh.kpkt.gov.my/project-swasta/14169-19,"(260, '14169-19')"
21,1 4 1 6 9 - 1 9 - p r 1 m a   c o r p o r a t i o n   m a l a y s i a,PR1MA CORPORATION MALAYSIA,14169,14169/12-2025/1466(A),30 Dec 2022,29 Dec 2025,0374959888,putih.atan@pr1ma.my,-,"14169-19,",SIAP DENGAN: CCC PENUH,14169-19/11-2017/0997(P),27 Nov 2015,26 Nov 2017,"RM 206,000.00",0.00mps,RUMAH PANGSA/KONDO,43,0,0,0,292,292,"355,000.00","438,900.00",100.00,"[""3.056700, 101.742000""]",,https://teduh.kpkt.gov.my/project-swasta/14169-19,"(260, '14169-19')"
22,1 4 1 6 9 - 1 9 - p r 1 m a   c o r p o r a t i o n   m a l a y s i a,PR1MA CORPORATION MALAYSIA,14169,14169/12-2025/1466(A),30 Dec 2022,29 Dec 2025,0374959888,putih.atan@pr1ma.my,-,"14169-19,",SIAP DENGAN: CCC PENUH,14169-19/11-2017/0997(P),27 Nov 2015,26 Nov 2017,"RM 206,000.00",0.00mps,RUMAH PANGSA/KONDO,43,0,0,0,832,832,"304,000.00","415,800.00",100.00,"[""3.056700, 101.742000""]",,https://teduh.kpkt.gov.my/project-swasta/14169-19,"(260, '14169-19')"
23,1 4 1 6 9 - 2 3 - P R 1 M A   @   J A L A N   J U B I L E E,PR1MA CORPORATION MALAYSIA,14169,14169/12-2025/1466(A),30 Dec 2022,29 Dec 2025,0374959888,putih.atan@pr1ma.my,-,"14169-23,",SIAP DENGAN: CCC PENUH,14169-23/12-2020/03203(P),05 Dec 2019,04 Dec 2020,"RM 360,000.00",0.00mps,RUMAH PANGSA/KONDO,31,0,0,0,543,543,"360,000.00","530,000.00",100.00,"[""3.129300, 101.708900""]",,https://teduh.kpkt.gov.my/project-swasta/14169-23,"(261, '14169-23')"
24,1 4 1 8 0 - 1 - R E S I D E N S I   S H A M E L I N,HKS DEVELOPMENT SDN. BHD.,14180,14180/01-2024/1084(R),16 Jan 2021,15 Jan 2024,-,-,-,"14180-1,",SIAP DENGAN: CCC PENUH,14180-1/01-2021/01436(P),16 Jan 2020,15 Jan 2021,"RM 317,000.00","36,701.49mps",PANGSAPURI SERVIS,36,0,0,"36,701",318,78,"317,000.00","551,000.00",100.00,"[""3.072920, 101.441620""]",,https://teduh.kpkt.gov.my/project-swasta/14180-1,"(262, '14180-1')"
25,1 4 1 8 6 - 1 - P A N G S A P U R I   A R I A,HAP SENG LAND DEVELOPMENT (JTR 2) SDN. BHD.,14186,14186-1/01-2023/01173(L),28 Jan 2022,27 Jan 2023,-,-,-,"14186-1,",SIAP DENGAN: CCC PENUH,14186-1/12-2019/02999(P),11 Dec 2018,10 Dec 2019,"RM 1,165,888.00",58.52mps,PANGSAPURI SERVIS,46,0,0,59,598,204,"1,165,888.00","3,687,888.00",100.00,"[""3.153800, 101.721500""]",,https://teduh.kpkt.gov.my/project-swasta/14186-1,"(263, '14186-1')"
26,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,286,2,1,"1,365,000.00","1,365,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
27,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,0,1,0,"2,000,000.00","2,000,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
28,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,247,2,0,"1,208,000.00","1,208,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
29,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,242,1,0,"1,418,000.00","1,418,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
30,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,0,1,1,"1,150,000.00","1,150,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
31,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,260,2,0,"1,260,000.00","1,260,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
32,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,301,2,1,"1,418,000.00","1,418,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
33,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,0,1,1,"1,449,000.00","1,449,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
34,1 4 2 3 1 - 1 - I M P I A N A   S E N T U L   B A H A G I A   2,EMERGING VILLA SDN. BHD.,14231,14231-1/01-2018/52(L),21 Jan 2016,20 Jan 2018,-,-,-,"14231-1,",SIAP DENGAN: CCC PENUH,14231-1/01-2018/52(P),21 Jan 2016,20 Jan 2018,"RM 1,150,000.00",0.00mps - 301.10mps,RUMAH TERES,3,0,0,0,2,1,"1,315,000.00","1,315,000.00",100.00,"[""3.193593, 101.689434""]",,https://teduh.kpkt.gov.my/project-swasta/14231-1,"(264, '14231-1')"
35,1 4 2 3 6 - 1 - P E N C H A L A   D A M A N S A R A,PRASARANA JUARA SDN. BHD.,14236,14236/05-2025/0024(R),07 May 2022,06 May 2025,-,-,-,"14236-1,",SIAP DENGAN: CCC PENUH,14236-1/01-2018/56(P),23 Jan 2016,22 Jan 2018,"RM 2,800,000.00",657.74mps,RUMAH BERKEMBAR,3,0,0,658,16,15,"2,800,000.00","4,250,000.00",100.00,"[""3.163500, 101.630200""]",,https://teduh.kpkt.gov.my/project-swasta/14236-1,"(265, '14236-1')"
36,1 4 2 6 0 - 1 - P A N G S A P U R I   S U I T E   D A N A U   K O T A,NOVA METRO DEVELOPMENT SDN. BHD.,14260,14260/02-2025/1434(R),26 Feb 2021,25 Feb 2025,-,-,-,"14260-1,",SIAP DENGAN: CCC PENUH,14260-1/02-2019/01428(P),26 Feb 2018,25 Feb 2019,"RM 561,800.00","1,011.00mps",PANGSAPURI SUITE,29,0,0,"1,011",285,62,"561,800.00","711,800.00",100.00,"[""3.209075, 101.719230""]",,https://teduh.kpkt.gov.my/project-swasta/14260-1,"(266, '14260-1')"
37,1 4 2 7 8 - 1 - C I T Y   V I E W   V E N T U R E S   S D N   B H D,CITY VIEW VENTURES SDN. BHD.,14278,14278/04-2025/0117(A),22 Mar 2022,16 Apr 2025,0323323100,abbie.foong@gshcorporation.com,-,"14278-1,",SIAP DENGAN: CCC PENUH,14278-1/04-2022/01317(P),17 Apr 2021,16 Apr 2022,"RM 1,019,814.00",78.00mps,PANGSAPURI SERVIS,52,0,0,78,632,244,"1,019,814.00","6,008,795.00",100.00,"[""3.151363, 101.719894""]",,https://teduh.kpkt.gov.my/project-swasta/14278-1,"(267, '14278-1')"
38,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,82,560,368,"480,000.00","5,962,000.00",23.32,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
39,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,0,502,502,"500,000.00","6,296,000.00",23.29,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
40,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,82,560,560,"495,000.00","6,118,000.00",22.92,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
41,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,82,678,607,"490,000.00","1,900,000.00",23.03,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
42,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,0,678,678,"500,000.00","1,917,668.00",21.35,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
43,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,0,618,618,"500,000.00","6,170,000.00",22.18,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
44,1 4 3 0 2 - 1 - M A J U   K U A L A   L U M P U R,ASM DEVELOPMENT (KL) SDN. BHD.,14302,14302/03-2028/0918(R),04 Mar 2023,03 Mar 2028,0390553865,sitiaishah@asmd.com.my,-,"14302-1,",SAKIT,14302-1/03-2023/01467(P),04 Mar 2022,03 Mar 2023,"RM 480,000.00",0.00mps - 82.00mps,PANGSAPURI SERVIS,28,0,0,82,618,529,"485,000.00","6,014,000.00",23.28,"[""3.056000, 101.706050""]",,https://teduh.kpkt.gov.my/project-swasta/14302-1,"(268, '14302-1')"
45,1 4 3 0 3 - 1 - G A L L I M O N T   D E V E L O P M E N T   S D N .   B H D .,GALLIMONT DEVELOPMENT SDN. BHD.,14303,14303/05-2025/0296(R),07 Apr 2022,05 May 2025,-,-,-,"14303-1,",SIAP DENGAN: CCC PENUH,14303-1/05-2022/01961(P),06 May 2021,05 May 2022,"RM 1,627,000.00",74.50mps,PANGSAPURI SERVIS,49,0,0,75,364,159,"1,627,000.00","12,422,000.00",100.00,"[""3.152616, 101.719924""]",,https://teduh.kpkt.gov.my/project-swasta/14303-1,"(269, '14303-1')"
46,1 4 3 0 6 - 1 - A C T I V E   E D G E   S D N .   B H D .,ACTIVE EDGE SDN. BHD.,14306,14306/04-2025/1009(A),30 Apr 2022,29 Apr 2025,0362798995,annie@fiamma.com.my,-,"14306-1,",SIAP DENGAN: CCC PENUH,14306-1/04-2021/01973(P),14 Apr 2020,13 Apr 2021,"RM 424,900.00",55.70mps,PANGSAPURI SERVIS,43,0,0,56,432,219,"424,900.00","1,622,300.00",100.00,"[""3.194686, 101.634988""]",,https://teduh.kpkt.gov.my/project-swasta/14306-1,"(270, '14306-1')"
