,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,Location,Address,Link,Website Location
10,1 9 5 6 - 2 - K I M   L O N G   C R E D I T   D E V E L O P M E N T   S D N .   B H D .,KIM LONG CREDIT DEVELOPMENT SDN. BHD.,1956,1956/03-2026/1317(R),12 Mar 2022,11 Mar 2026,-,-,-,"1956-2,",TERBENGKALAI,1956-2/03-2022/01546(P),12 Mar 2021,11 Mar 2022,"RM 198,008.00",0mps - 97mps,1,0,0,0,36,36,"293,910.00","366,110.00",0.00,BELUM MULA,"[""5.505420, 100.683070""]",,https://teduh.kpkt.gov.my/project-swasta/1956-2,"6, 37, 0"
11,1 9 5 6 - 2 - K I M   L O N G   C R E D I T   D E V E L O P M E N T   S D N .   B H D .,KIM LONG CREDIT DEVELOPMENT SDN. BHD.,1956,1956/03-2026/1317(R),12 Mar 2022,11 Mar 2026,-,-,-,"1956-2,",TERBENGKALAI,1956-2/03-2022/01546(P),12 Mar 2021,11 Mar 2022,"RM 198,008.00",0mps - 97mps,1,0,0,97,33,19,"198,008.00","413,398.00",78.33,SAKIT,"[""5.505420, 100.683070""]",,https://teduh.kpkt.gov.my/project-swasta/1956-2,"6, 37, 0"
12,2 0 0 3 - 1 - T A M A N   P A T A N I   J A Y A,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-1,",-,2003/920/1997(08),07 Aug 1996,06 Aug 1997,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-1,"7, 37, 0"
13,2 0 0 3 - 1 0 - B A N D A R   L A G U N A   M E R B O K   F A S A   2,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-10,",-,2003/1247/2001(07),29 Jul 2000,28 Jul 2001,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-10,"16, 37, 0"
14,2 0 0 3 - 1 1 - B A N D A R   L A G U N A   M E R B O K   F A S A   3 A,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-11,",-,2003/463/2002(04),21 Apr 2001,20 Apr 2002,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-11,"17, 37, 0"
15,2 0 0 3 - 1 2 - B A N D A R   L A G U N A   M E R B O K   F A S A   3 B,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-12,",-,2003-12/2340/2003(11),03 Nov 2002,02 Nov 2003,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-12,"18, 37, 0"
16,2 0 0 3 - 1 3 - B A N D A R   L A G U N A   M E R B O K   F A S A   4,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-13,",-,2003/927/2002(07),27 Jul 2001,26 Jul 2002,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-13,"19, 37, 0"
17,2 0 0 3 - 1 4 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-14,",SIAP DENGAN: CFO PENUH,2003-14/692/2007(05),30 May 2006,29 May 2007,"RM 413,900.00",0mps,2,0,0,0,31,31,"413,900.00","480,100.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-14,"20, 37, 0"
18,2 0 0 3 - 1 5 - B A N D A R   L A G U N A   M E R B O K   -   F A S A   4 C,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-15,",-,2003-15/1338/2003(10),24 Oct 2002,23 Oct 2003,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-15,"21, 37, 0"
19,2 0 0 3 - 2 - X X X,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-2,",-,-,-,-,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-2,"8, 37, 0"
20,2 0 0 3 - 2 0 - B A N D A R   L A G U N A   M E R B O K   -   F A S A   3 C,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-20,",-,2003-20/1353/2004(02),03 Jul 2003,21 Feb 2004,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-20,"22, 37, 0"
21,2 0 0 3 - 2 1 - B A N D A R   L A G U N A   M E R B O K   -   F A S A   4 B,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-21,",-,2003-21/1509/2004(08),08 Aug 2003,07 Aug 2004,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-21,"23, 37, 0"
22,2 0 0 3 - 2 2 - B A N D A R   L A G U N A   M E R B O K   -   F A S A   4 B ( 1 ),PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-22,",-,2003-22/1340/2003(08),08 Aug 2002,07 Aug 2003,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-22,"24, 37, 0"
23,2 0 0 3 - 2 3 - B A N D A R   L A G U N A   M E R B O K   -   F A S A   3 D,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-23,",-,2003-23/976/2004(11),22 May 2004,08 Nov 2004,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-23,"25, 37, 0"
24,2 0 0 3 - 2 4 - B A N D A R   L A G U N A   M E R B O K   F A S A   4 D,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-24,",-,2003-24/2262/2004(11),14 Nov 2003,13 Nov 2004,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-24,"1, 38, 0"
25,2 0 0 3 - 2 5 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-25,",SIAP DENGAN: CFO PENUH,2003-25/1050/2007(06),02 Jun 2006,01 Jun 2007,"RM 146,200.00",0mps,2,0,0,0,115,115,"146,200.00","191,356.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-25,"2, 38, 0"
26,2 0 0 3 - 2 6 - T A M A N   D E S A   A N G G E R I K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-26,",-,2003-26/1099/2005(05),26 May 2004,25 May 2005,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-26,"3, 38, 0"
27,2 0 0 3 - 2 7 - T A M A N   P A T A N I   J A Y A,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-27,",-,2003-27/787/2004(04),30 Apr 2003,29 Apr 2004,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-27,"4, 38, 0"
28,2 0 0 3 - 2 8 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-28,",SIAP DENGAN: CFO PENUH,2003-28/383/2008(02),06 Feb 2007,05 Feb 2008,"RM 34,100.00",0mps,2,0,0,0,122,122,"34,100.01","60,300.01",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-28,"5, 38, 0"
29,2 0 0 3 - 2 8 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-28,",SIAP DENGAN: CFO PENUH,2003-28/383/2008(02),06 Feb 2007,05 Feb 2008,"RM 34,100.00",0mps,2,0,0,0,131,131,"34,100.00","60,300.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-28,"5, 38, 0"
30,2 0 0 3 - 2 9 - B A N D A R   L A G U N A   M E R B O K   F A S A   5,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-29,",-,2003-29/750/2005(06),17 Jun 2004,16 Jun 2005,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-29,"6, 38, 0"
31,2 0 0 3 - 3 - X X X,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-3,",-,-,-,-,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-3,"9, 37, 0"
32,2 0 0 3 - 3 0 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-30,",SIAP DENGAN: CFO PENUH,2003-30/574/2006(04),13 Apr 2005,12 Apr 2006,"RM 168,900.00",0mps,2,0,0,0,87,87,"168,900.00","247,470.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-30,"7, 38, 0"
33,2 0 0 3 - 3 1 - B A N D A R   L A G U N A   M E R B O K   F A S A   5 A,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-31,",-,2003-31/2469/2006(10),24 Oct 2005,13 Oct 2006,RM 0.00,0mps,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/2003-31,"8, 38, 0"
34,2 0 0 3 - 3 2 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-32,",SIAP DENGAN: CFO PENUH,2003-32/575/2006(03),16 Mar 2005,15 Mar 2006,"RM 275,900.00",0mps,2,0,0,0,118,118,"275,900.00","376,100.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-32,"9, 38, 0"
35,2 0 0 3 - 3 3 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-33,",SIAP DENGAN: CFO PENUH,2003-33/1374/2007(07),20 Jul 2006,19 Jul 2007,"RM 171,900.00",0mps,2,0,0,0,54,54,"171,900.00","252,945.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-33,"10, 38, 0"
36,2 0 0 3 - 3 3 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-33,",SIAP DENGAN: CFO PENUH,2003-33/1374/2007(07),20 Jul 2006,19 Jul 2007,"RM 171,900.00",0mps,2,0,0,0,43,43,"171,900.01","252,945.01",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-33,"10, 38, 0"
37,2 0 0 3 - 3 4 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-34,",SIAP DENGAN: CFO PENUH,2003-34/1051/2007(06),23 Jun 2006,22 Jun 2007,"RM 365,500.00",0mps,2,0,0,0,32,32,"365,500.00","374,540.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-34,"11, 38, 0"
38,2 0 0 3 - 3 5 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-35,",SIAP DENGAN: CCC PENUH,2003-35/1448/2007(08),09 Aug 2006,08 Aug 2007,"RM 145,900.00",0mps,2,0,0,0,12,12,"179,900.00","237,650.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-35,"12, 38, 0"
39,2 0 0 3 - 3 5 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-35,",SIAP DENGAN: CCC PENUH,2003-35/1448/2007(08),09 Aug 2006,08 Aug 2007,"RM 145,900.00",0mps,2,0,0,0,26,26,"154,900.00","199,390.00",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-35,"12, 38, 0"
40,2 0 0 3 - 3 5 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-35,",SIAP DENGAN: CCC PENUH,2003-35/1448/2007(08),09 Aug 2006,08 Aug 2007,"RM 145,900.00",0mps,2,0,0,0,90,90,"145,900.00","190,495.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-35,"12, 38, 0"
41,2 0 0 3 - 3 5 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-35,",SIAP DENGAN: CCC PENUH,2003-35/1448/2007(08),09 Aug 2006,08 Aug 2007,"RM 145,900.00",0mps,2,0,0,0,18,18,"170,900.00","225,305.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-35,"12, 38, 0"
42,2 0 0 3 - 3 6 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-36,",SIAP DENGAN: CFO PENUH,2003-36/1761/2008(08),22 Aug 2007,21 Aug 2008,"RM 279,470.00",0mps,2,0,0,0,26,26,"279,470.01","349,218.01",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-36,"13, 38, 0"
43,2 0 0 3 - 3 6 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-36,",SIAP DENGAN: CFO PENUH,2003-36/1761/2008(08),22 Aug 2007,21 Aug 2008,"RM 279,470.00",0mps,2,0,0,0,44,44,"279,470.00","349,218.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-36,"13, 38, 0"
44,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,24,24,"163,900.00","218,730.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
45,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,54,54,"153,900.00","211,100.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
46,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,15,15,"179,900.00","240,065.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
47,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,25,25,"188,900.02","247,360.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
48,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,12,12,"188,900.00","250,985.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
49,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,54,54,"168,900.00","226,110.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
50,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,26,26,"188,900.01","247,360.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
51,2 0 0 3 - 3 7 - B A N D A R   L A G U N A   M E R B O K,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-37,",SIAP DENGAN: CFO PENUH,2003-37/2196/2008(10),17 Oct 2007,16 Oct 2008,"RM 153,900.00",0mps,2,0,0,0,16,16,"179,900.01","229,870.00",100.00,SIAP DENGAN: CFO PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-37,"14, 38, 0"
52,2 0 0 3 - 3 8 - B A N D A R   L A G U N A   M E R B O K   F A S A   6,PARAMOUNT PROPERTY (UTARA) SDN. BHD.,2003,2003/10-2028/1238(A),29 Oct 2023,28 Oct 2028,044413388,cyooi@paramountproperty.my,-,"2003-38,",SIAP DENGAN: CCC PENUH,2003-38/132/2010(01),16 Jan 2009,15 Jan 2010,"RM 167,800.00",0mps,2,0,0,0,6,6,"193,500.01","256,265.01",100.00,SIAP DENGAN: CCC PENUH,,,https://teduh.kpkt.gov.my/project-swasta/2003-38,"15, 38, 0"
